part,label,width_mm,length_mm,height_mm,xmin_mm,ymin_mm,zmin_mm,source
case_insert_1,PEM MSIB-M1.6-300 / case_insert_1,2.50056,2.50084,3.00112,-26.25,60.44958,4.49944,PEM published 2.5 mm OD envelope; installed polymer displacement modeled; knurl/thread omitted
case_insert_2,PEM MSIB-M1.6-300 / case_insert_2,2.50056,2.50084,3.00112,23.75,60.44958,4.49944,PEM published 2.5 mm OD envelope; installed polymer displacement modeled; knurl/thread omitted
case_insert_3,PEM MSIB-M1.6-300 / case_insert_3,2.50056,2.50084,3.00112,-30.25,8.74958,4.49944,PEM published 2.5 mm OD envelope; installed polymer displacement modeled; knurl/thread omitted
case_insert_4,PEM MSIB-M1.6-300 / case_insert_4,2.50056,2.50084,3.00112,27.75,2.74958,4.49944,PEM published 2.5 mm OD envelope; installed polymer displacement modeled; knurl/thread omitted
case_insert_5,PEM MSIB-M1.6-300 / case_insert_5,2.50056,2.50084,3.00112,27.75,-27.25042,4.49944,PEM published 2.5 mm OD envelope; installed polymer displacement modeled; knurl/thread omitted
case_insert_6,PEM MSIB-M1.6-300 / case_insert_6,2.50056,2.50084,3.00112,-1.45,-62.25042,4.49944,PEM published 2.5 mm OD envelope; installed polymer displacement modeled; knurl/thread omitted
case_insert_7,PEM MSIB-M1.6-300 / case_insert_7,2.50056,2.50084,3.00112,-25.25,-62.45042,4.49944,PEM published 2.5 mm OD envelope; installed polymer displacement modeled; knurl/thread omitted
carrier_insert_1,PEM MSIB-M1.4-150 / carrier_insert_1,2.50056,2.50084,1.50112,-26.25,10.04958,2.84944,PEM published 2.5 mm OD envelope; installed polymer displacement modeled; knurl/thread omitted
carrier_insert_2,PEM MSIB-M1.4-150 / carrier_insert_2,2.50056,2.50084,1.50112,23.75,10.04958,2.84944,PEM published 2.5 mm OD envelope; installed polymer displacement modeled; knurl/thread omitted
carrier_insert_3,PEM MSIB-M1.4-150 / carrier_insert_3,2.50056,2.50084,1.50112,-24.25,57.44958,2.84944,PEM published 2.5 mm OD envelope; installed polymer displacement modeled; knurl/thread omitted
carrier_insert_4,PEM MSIB-M1.4-150 / carrier_insert_4,2.50056,2.50084,1.50112,21.75,57.44958,2.84944,PEM published 2.5 mm OD envelope; installed polymer displacement modeled; knurl/thread omitted
xiao_clamp_insert_1,PEM MSIB-M1.4-150 / xiao_clamp_insert_1,2.50056,2.50084,1.50112,20.75,-22.95042,2.79944,PEM published 2.5 mm OD envelope; installed polymer displacement modeled; knurl/thread omitted
xiao_clamp_insert_2,PEM MSIB-M1.4-150 / xiao_clamp_insert_2,2.50056,2.50084,1.50112,20.75,0.44958,2.79944,PEM published 2.5 mm OD envelope; installed polymer displacement modeled; knurl/thread omitted
midframe,PA12 frame / metal insert seats and guides,64.00508,128.00508,7.35369,-32.00254,-64.00254,0.54712,Designed nominal geometry
front_bezel,Front satin polished steel / laser engraved / 0.40 mm,64.00508,128.00508,0.40508,-32.00254,-64.00254,-0.00254,Designed nominal geometry
rear_shell,Rear satin polished steel / laser engraved / 0.40 mm,64.00508,128.00508,0.4093,-32.00254,-64.00254,7.89535,Designed nominal geometry
front_bond,front bond / 0.15 mm,64.00506,128.00506,0.15506,-32.00253,-64.00253,0.39747,Designed nominal geometry
rear_gasket,rear gasket / 0.15 mm,64.00506,128.00506,0.15506,-32.00253,-64.00253,7.74747,Designed nominal geometry
touch_glass,Startek capacitive glass / nominal 1.25 mm,59.96,42.62,1.25,-29.98,13.69,0.55,Startek listing; sample drawing required
lcd,Startek LCD + backlight / nominal 2.50 mm,60.26,42.92,2.5,-30.13,13.54,1.8,Startek outline; layer split pending supplier drawing
display_adhesive,Continuous display bond / 0.15 mm,59.6603,42.3203,0.1503,-29.83015,13.83985,0.39985,Designed nominal geometry
display_carrier,Welded stainless carrier / cross ribs and service windows,59.00135,50.00191,1.45098,-29.50093,9.99907,4.34902,Designed nominal geometry
display_cushion,LCD perimeter cushion / 0.05 mm,58.00034,41.00034,0.05034,-29.00017,14.49983,4.29983,Designed nominal geometry
audio,Adafruit 6309 / original bottom jack,25.4,33.53701,6.37248,2.1,-63.6,0.55,Unscaled manufacturer STEP
xiao,Seeed XIAO ESP32-S3 / USB right,22.48198,17.78,4.46,9.11802,-18.89,0.75,Unscaled manufacturer STEP
audio_insulator,Removable DAC dielectric sheet / 0.15 mm,25.4,31.75,0.15,2.1,-61.81299,0.4,Designed nominal geometry
xiao_insulator,Removable XIAO dielectric seat / 0.35 mm,20.9,17.7,0.35,9.14611,-18.85,0.4,Designed nominal geometry
xiao_saddle,Removable stainless XIAO saddle / two screws,3.60129,27.00161,0.40161,20.19935,-23.50081,4.29919,Designed nominal geometry
xiao_saddle_pad,XIAO shield cushion / installed 0.30 mm,2.0,8.0,0.3,21.0,-14.0,4.0,Actual shield top Z4.00; compression and allowable shield load require test
xiao_clamp_screw_1,M1.4 × 3 XIAO saddle screw,2.20049,2.20074,3.60072,20.9,-22.80037,1.69978,Designed nominal geometry
xiao_clamp_screw_2,M1.4 × 3 XIAO saddle screw,2.20049,2.20074,3.60072,20.9,0.59963,1.69978,Designed nominal geometry
xiao_insertion_stop,Removable XIAO insertion stop,0.5,15.4,1.7,8.4,-16.45,0.55,Designed nominal geometry
xiao_stop_adhesive,XIAO stop bonding pad,0.5,15.4,0.15,8.4,-16.45,0.4,Designed nominal geometry
dac_seat_1,Insulating DAC shoulder and locating pin,3.70083,3.70124,1.72134,23.11,-34.45361,0.54949,Custom POM; nominal 0.10 mm radial pin-to-hole clearance
dac_retainer_1,Threaded stainless DAC column 1,3.40076,3.40114,5.63408,23.26,-34.30356,2.26924,Custom turned stainless M1.4 column; thread not tessellated
dac_rear_screw_1,M1.4 × 3 countersunk DAC column screw,2.81048,2.8108,3.00579,23.55507,-34.00839,5.29976,Designed nominal geometry
dac_seat_2,Insulating DAC shoulder and locating pin,3.70083,3.70124,1.72134,2.79,-61.12361,0.54949,Custom POM; nominal 0.10 mm radial pin-to-hole clearance
dac_retainer_2,Threaded stainless DAC column 2,3.40076,3.40114,5.63408,2.94,-60.97356,2.26924,Custom turned stainless M1.4 column; thread not tessellated
dac_rear_screw_2,M1.4 × 3 countersunk DAC column screw,2.81048,2.8108,3.00579,3.23507,-60.67839,5.29976,Designed nominal geometry
dac_seat_3,Insulating DAC shoulder and locating pin,3.70083,3.70124,1.72134,23.11,-61.12361,0.54949,Custom POM; nominal 0.10 mm radial pin-to-hole clearance
dac_retainer_3,Threaded stainless DAC column 3,3.40076,3.40114,5.63408,23.26,-60.97356,2.26924,Custom turned stainless M1.4 column; thread not tessellated
dac_rear_screw_3,M1.4 × 3 countersunk DAC column screw,2.81048,2.8108,3.00579,23.55507,-60.67839,5.29976,Designed nominal geometry
rear_liner,Rear dielectric liner / 0.07 mm,60.40356,124.40267,0.07356,-30.20178,-62.20178,7.82822,Designed nominal geometry
cell_A_envelope,Battery A / finished pack allocation,37.00068,25.50068,5.20068,-29.00034,-18.75034,0.69966,DTP502535 max pack dimensions; combined pack unselected
cell_A_envelope_adhesive,Battery insulating retention pad / 0.30 mm,35.00051,23.50051,0.30051,-28.00025,-17.75025,0.39975,Designed nominal geometry
cell_B_envelope,Battery B / finished pack allocation,25.50068,37.00068,5.20068,-28.50034,-59.00034,0.69966,DTP502535 max pack dimensions; combined pack unselected
cell_B_envelope_adhesive,Battery insulating retention pad / 0.30 mm,23.50051,35.00051,0.30051,-27.50025,-58.00025,0.39975,Designed nominal geometry
microsd_pcb,microSD adapter PCB / nominal 22 × 18,22.00042,18.00042,0.80042,-29.90021,19.99979,4.84979,Designed nominal geometry
microsd_socket,microSD socket / conservative envelope,15.7,14.2,1.8,-30.85,21.9,5.65,Designed nominal geometry
microsd_card,microSD card,15.0,11.0,1.0,-31.6,23.5,5.9,Designed nominal geometry
