part_id,quantity,description,type,definition,qualification
midframe,1,PA12 frame / guides and pillars,structure,Designed nominal geometry,Nominal prototype; physical qualification required
front_bezel,1,Front steel / 0.40 mm,structure,Designed nominal geometry,Nominal prototype; physical qualification required
rear_shell,1,Rear steel / 0.40 mm,structure,Designed nominal geometry,Nominal prototype; physical qualification required
front_bond,1,front bond / 0.15 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
rear_gasket,1,rear gasket / 0.15 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
touch_glass,1,Startek capacitive glass / nominal 1.25 mm,component,Startek listing; sample drawing required,Nominal prototype; physical qualification required
lcd,1,Startek LCD + backlight / nominal 2.50 mm,component,Startek outline; layer split pending supplier drawing,Nominal prototype; physical qualification required
display_adhesive,1,Continuous display bond / 0.15 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
display_carrier,1,Display retainer / 0.20 mm stainless,structure,Designed nominal geometry,Nominal prototype; physical qualification required
display_cushion,1,LCD perimeter cushion / 0.05 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
carrier_rib_15,1,Bonded retainer stiffening rib,support,Designed nominal geometry,Nominal prototype; physical qualification required
carrier_rib_15_bond,1,Retainer rib bond / 0.05 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
carrier_rib_56,1,Bonded retainer stiffening rib,support,Designed nominal geometry,Nominal prototype; physical qualification required
carrier_rib_56_bond,1,Retainer rib bond / 0.05 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
audio,1,Adafruit 6309 / original bottom jack,component,Unscaled manufacturer STEP,Manufacturer CAD; sample fit required
xiao,1,Seeed XIAO ESP32-S3 / USB right,component,Unscaled manufacturer STEP,Manufacturer CAD; sample fit required
audio_insulator,1,DAC insulating adhesive / 0.15 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
xiao_insulator,1,XIAO insulating adhesive / 0.35 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
xiao_insertion_stop,1,Removable XIAO insertion stop,support,Designed nominal geometry,Nominal prototype; physical qualification required
xiao_stop_adhesive,1,XIAO stop bonding pad,seal,Designed nominal geometry,Nominal prototype; physical qualification required
dac_insertion_stop,1,Removable DAC insertion stop,support,Designed nominal geometry,Nominal prototype; physical qualification required
dac_stop_adhesive,1,DAC stop bonding pad,seal,Designed nominal geometry,Nominal prototype; physical qualification required
dac_retainer_1,1,DAC locating spacer 1,support,Designed nominal geometry,Nominal prototype; physical qualification required
dac_retainer_bond_1,1,DAC spacer rear bond / 0.10 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
dac_retainer_2,1,DAC locating spacer 2,support,Designed nominal geometry,Nominal prototype; physical qualification required
dac_retainer_bond_2,1,DAC spacer rear bond / 0.10 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
dac_retainer_3,1,DAC locating spacer 3,support,Designed nominal geometry,Nominal prototype; physical qualification required
dac_retainer_bond_3,1,DAC spacer rear bond / 0.10 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
rear_liner,1,Rear dielectric liner / 0.07 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
cell_A_envelope,1,Battery A / finished pack allocation,component,DTP502535 max pack dimensions; combined pack unselected,Nominal prototype; physical qualification required
cell_A_envelope_adhesive,1,Battery insulating retention pad / 0.30 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
cell_B_envelope,1,Battery B / finished pack allocation,component,DTP502535 max pack dimensions; combined pack unselected,Nominal prototype; physical qualification required
cell_B_envelope_adhesive,1,Battery insulating retention pad / 0.30 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
microsd_pcb,1,microSD adapter PCB / nominal 22 × 18,component,Designed nominal geometry,Nominal prototype; physical qualification required
microsd_socket,1,microSD socket / conservative envelope,component,Designed nominal geometry,Nominal prototype; physical qualification required
microsd_card,1,microSD card,component,Designed nominal geometry,Nominal prototype; physical qualification required
sd_mount_pad,1,SD insulating adhesive / 0.30 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
sd_stop_19_5,1,SD edge stop,support,Designed nominal geometry,Nominal prototype; physical qualification required
sd_stop_19_5_bond,1,SD stop bond / 0.05 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
sd_stop_38_5,1,SD edge stop,support,Designed nominal geometry,Nominal prototype; physical qualification required
sd_stop_38_5_bond,1,SD stop bond / 0.05 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
sd_insertion_stop,1,SD insertion load stop,support,Designed nominal geometry,Nominal prototype; physical qualification required
sd_insertion_stop_bond,1,SD insertion stop bond / 0.05 mm,seal,Designed nominal geometry,Nominal prototype; physical qualification required
interface_pcb,1,45P display / touch interface PCB allocation,component,Designed nominal geometry,Nominal prototype; physical qualification required
interface_pad_24,1,Interface insulating mounting land,seal,Designed nominal geometry,Nominal prototype; physical qualification required
interface_pad_54,1,Interface insulating mounting land,seal,Designed nominal geometry,Nominal prototype; physical qualification required
display_zif,1,LCD ZIF / 45P 0.5 mm allocation,component,Designed nominal geometry,Nominal prototype; physical qualification required
touch_zif,1,Touch ZIF / supplier pinout pending,component,Designed nominal geometry,Nominal prototype; physical qualification required
interface_control,1,I/O + backlight control allocation,component,Designed nominal geometry,Nominal prototype; physical qualification required
pack_protection,1,1S2P pack protection allocation,component,Designed nominal geometry,Nominal prototype; physical qualification required
pack_protection_pad,1,Pack protection adhesive pad,seal,Designed nominal geometry,Nominal prototype; physical qualification required
case_screw_1,1,M1.6 × 5 case screw 1,fastener,Designed nominal geometry,Nominal prototype; physical qualification required
case_screw_2,1,M1.6 × 5 case screw 2,fastener,Designed nominal geometry,Nominal prototype; physical qualification required
case_screw_3,1,M1.6 × 5 case screw 3,fastener,Designed nominal geometry,Nominal prototype; physical qualification required
case_screw_4,1,M1.6 × 5 case screw 4,fastener,Designed nominal geometry,Nominal prototype; physical qualification required
case_screw_5,1,M1.6 × 5 case screw 5,fastener,Designed nominal geometry,Nominal prototype; physical qualification required
case_screw_6,1,M1.6 × 5 case screw 6,fastener,Designed nominal geometry,Nominal prototype; physical qualification required
case_screw_7,1,M1.6 × 5 case screw 7,fastener,Designed nominal geometry,Nominal prototype; physical qualification required
carrier_screw_1,1,M1.4 × 3 retainer screw 1,fastener,Designed nominal geometry,Nominal prototype; physical qualification required
carrier_screw_2,1,M1.4 × 3 retainer screw 2,fastener,Designed nominal geometry,Nominal prototype; physical qualification required
carrier_screw_3,1,M1.4 × 3 retainer screw 3,fastener,Designed nominal geometry,Nominal prototype; physical qualification required
carrier_screw_4,1,M1.4 × 3 retainer screw 4,fastener,Designed nominal geometry,Nominal prototype; physical qualification required
usb_cover,1,Flush USB-C silicone cover / prototype,cover,Designed nominal geometry,Nominal prototype; physical qualification required
sd_cover,1,Flush SD silicone cover / prototype,cover,Designed nominal geometry,Nominal prototype; physical qualification required
jack_cover,1,Flush jack silicone cover / prototype,cover,Designed nominal geometry,Nominal prototype; physical qualification required
